,Brand,Ram,Processor,Storage,Screen Size,Operating System,Price
307,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
308,HP,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,60390
309,HP,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,69990
310,ASUS,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,44990
311,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
312,ASUS,8,Intel Core i5 Processor,256 GB SSD,39.62,Windows 11,44990
313,HP,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,60390
314,ASUS,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,69490
315,HP,8,AMD Ryzen 3 Quad Core Processor,512 GB SSD,35.56,Windows 11,40799
316,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
317,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
318,HP,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,55990
319,Lenovo,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,74990
320,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
321,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
322,HP,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,69990
323,ASUS,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,44990
324,ASUS,8,Intel Core i5 Processor,1 TB SSD,39.62,Windows 11,59990
325,APPLE,16,Apple M1 Pro Processor,512 GB SSD,41.15,Mac OS,222990
326,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
327,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
328,DELL,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,74770
329,ASUS,16,Intel Core i7 Processor,1 TB SSD,43.94,Windows 11,109990
330,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
331,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
332,acer,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,62990
333,acer,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,40990
334,MSI,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,58499
335,Lenovo,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,65990
336,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
337,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
338,DELL,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 11,111990
339,Lenovo,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,68490
340,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
341,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
342,Infinix,16,Intel Core i7 Processor,512 GB SSD,35.56,Windows 11,46990
343,ASUS,8,Intel Core i5 Processor,1 TB HDD,35.56,Windows 10,83990
344,acer,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,54990
345,ASUS,4,Intel Celeron Dual Core Processor,32 GB EMMC,29.46,Chrome,14990
346,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
347,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
348,APPLE,8,Apple M1 Processor,1 TB SSD,33.78,Mac OS,149990
349,DELL,8,Intel Core i5 Processor,512 GB SSD,88.9,Windows 10,63090
350,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
351,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
352,MSI,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 11,200000
353,Lenovo,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,37390
354,ASUS,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,63990
355,DELL,8,Intel Core i3 Processor,512 GB SSD,35.56,Windows 10,43090
356,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
357,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
358,Lenovo,4,Intel Core i3 Processor,256 GB SSD,39.62,Windows 10,44700
359,HP,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 10,41150
360,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
361,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
362,ASUS,8,AMD Ryzen 3 Dual Core Processor,256 GB SSD,39.62,Windows 11,33990
363,MSI,16,Intel Core i7 Processor,1 TB SSD,43.94,Windows 11,190890
364,ASUS,16,Intel Core i9 Processor,1 TB SSD,34.04,Windows 11,174990
365,HP,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,40.89,Windows 11,118990
366,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
367,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
368,ASUS,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,63980
369,acer,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,54300
370,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
371,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
372,DELL,8,AMD Ryzen 3 Dual Core Processor,256 GB SSD,39.62,Windows 11,36400
373,ASUS,4,Intel Core i3 Processor,256 GB SSD,39.62,Windows 10,28590
374,DELL,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,40.64,Windows 11,69999
375,ASUS,32,Intel Core i9 Processor,1 TB SSD,39.62,Windows 11,301990
376,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
377,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
378,Lenovo,8,Intel Core i3 Processor,256 GB SSD,38.1,Windows 11,37000
379,Lenovo,16,Intel Core i5 Processor,512 GB SSD,33.02,Windows 10,64990
380,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
381,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
382,DELL,8,Intel Core i3 Processor,256 GB SSD,38.0,Windows 11,42690
383,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,140990
384,Lenovo,4,Intel Core i3 Processor,256 GB SSD,38.1,Windows 10,38990
385,HP,16,Intel Core i7 Processor,512 GB SSD,34.29,Windows 11,128990
386,acer,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,54999
387,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
388,acer,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,60130
389,acer,8,Intel Pentium Silver Processor,256 GB SSD,35.56,Windows 11,29490
390,DELL,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,72490
391,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
392,GIGABYTE,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,73990
393,acer,8,Intel Core i5 Processor,1 TB HDD,39.62,Windows 10,47130
394,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,35.56,Windows 10,55600
395,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
396,DELL,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,35.56,Windows 10,49690
397,ASUS,32,Intel Core i7 Processor,1 TB SSD,40.64,Windows 11,239990
398,MSI,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,73990
399,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
400,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,35.56,Windows 10,52490
401,HP,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,41990
402,ASUS,8,Intel Pentium Quad Core Processor,256 GB SSD,35.56,Windows 11,29990
403,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
404,Nokia,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,50490
